14:26:34:407    *** 服务器启动 *** 
14:27:04:705    == 自动Statistics统计打开 ==
14:27:04:740    == 自动Merger合并打开 ==
14:27:05:705    == 自动Socket接收打开 ==
14:27:05:706    == 自动Statistics统计打开 ==
14:27:05:742    == 自动Merger合并打开 ==
14:27:06:708    == 自动Socket接收打开 ==
14:27:06:709    == 自动Statistics统计打开 ==
14:27:06:744    == 自动Merger合并打开 ==
14:27:07:754    == 自动Merger合并打开 ==
14:27:07:755    == 自动Socket接收打开 ==
14:27:07:756    == 自动Statistics统计打开 ==
14:27:08:755    == 自动Merger合并打开 ==
14:27:08:757    == 自动Statistics统计打开 ==
14:27:08:757    == 自动Socket接收打开 ==
14:27:09:756    == 自动Merger合并打开 ==
14:27:09:758    == 自动Statistics统计打开 ==
14:27:09:758    == 自动Socket接收打开 ==
14:27:10:758    == 自动Merger合并打开 ==
14:27:10:760    == 自动Socket接收打开 ==
14:27:10:760    == 自动Statistics统计打开 ==
14:27:11:759    == 自动Merger合并打开 ==
14:27:11:761    == 自动Socket接收打开 ==
14:27:11:762    == 自动Statistics统计打开 ==
14:27:12:761    == 自动Merger合并打开 ==
14:27:12:763    == 自动Socket接收打开 ==
14:27:12:764    == 自动Statistics统计打开 ==
14:27:13:763    == 自动Merger合并打开 ==
14:27:13:764    == 自动Socket接收打开 ==
14:27:13:765    == 自动Statistics统计打开 ==
14:27:14:765    == 自动Merger合并打开 ==
14:27:14:766    == 自动Socket接收打开 ==
14:27:14:767    == 自动Statistics统计打开 ==
14:27:15:766    == 自动Merger合并打开 ==
14:27:15:767    == 自动Socket接收打开 ==
14:27:15:768    == 自动Statistics统计打开 ==
14:27:16:769    == 自动Merger合并打开 ==
14:27:16:770    == 自动Statistics统计打开 ==
14:27:16:771    == 自动Socket接收打开 ==
14:27:17:769    == 自动Merger合并打开 ==
14:27:17:771    == 自动Statistics统计打开 ==
14:27:17:772    == 自动Socket接收打开 ==
14:27:18:771    == 自动Merger合并打开 ==
14:27:18:772    == 自动Statistics统计打开 ==
14:27:18:773    == 自动Socket接收打开 ==
14:27:19:772    == 自动Merger合并打开 ==
14:27:19:773    == 自动Statistics统计打开 ==
14:27:19:774    == 自动Socket接收打开 ==
14:27:20:462    *** 停止接收合并 *** 
14:27:43:554    *** 服务器关闭 *** 
14:27:43:556    *** 服务器关闭 *** 
